Metric,Description,Score,Rationale
A1,Property rights,9.1,"Consensus high; private key control and cryptographic ownership strongly emphasized in whitepaper and 2011 forum discussions; minor variance from enforcement evidence."
A2,Market allocation,8.7,"Exchange rates form freely on Mt. Gox and early markets via bid/ask; no central price setting observed in 2011 data (Mt. Gox 2011 activity; bitcointalk.org trading threads)."
A3,Profit motive,8.5,"Mining rewards and transaction fees drive participation; GPU mining profitability and speculation dominate 2011 forum discussions (bitcointalk.org mining threads 2011)."
B1,Redistribution,9.4,"No forced redistribution; voluntary mining rewards and transfers dominant in 2011 evidence (Bitcoin whitepaper; bitcointalk.org 2011 consensus)."
B2,Welfare,8.1,"No entitlements; voluntary community donations and charity drives exist but are not protocol-enforced (bitcointalk.org charity threads 2011)."
C1,Heredity fidelity,8.7,"Blockchain maintains continuous verifiable ownership chain from genesis; no resets or major forks by end-2011 (block explorer data 2011)."
C2,Variation,3.7,"Protocol largely single-implementation; early altcoin experiments like Namecoin appear but are external (bitcointalk.org altcoin threads 2011)."
C3,Persistence,5.1,"Network survives 2011 price crashes, hacks, and technical issues; uptime and node growth indicate medium-term viability (bitcointalk.org 2011 status threads)."
D1,Exploitationism tolerance,3.9,"GPU mining centralization and exchange vulnerabilities allow some extraction; protocol limits systemic parasitism (bitcointalk.org mining centralization debates 2011)."
D2,Competition intensity,7.3,"Proof-of-work difficulty adjustment and GPU mining race create vigorous bounded rivalry (Bitcoin whitepaper; bitcointalk.org GPU mining threads 2011)."
E1,Survival pressure,4.7,"Mt. Gox hack (June 2011) and price volatility serve as meaningful existential filters; network continues (CoinDesk 2011 coverage; bitcointalk.org hack threads)."
E2,Niche construction,5.9,"Early merchant adoption, Silk Road usage, and payment experimentation expand digital cash niche (2011 news coverage; bitcointalk.org merchant threads)."
F1,Boundary maintenance,7.6,"Consensus rules and longest-chain acceptance maintain strong network identity and validity boundaries (Bitcoin whitepaper; bitcointalk.org consensus discussions 2011)."
F2,Error repair,2.6,"Overflow bug fix (2010) and rapid client patches in 2011 show reasonable repair capacity; shim-adjusted due to limited automated detection (bitcointalk.org bug fix threads 2011)."
G1,Cheater detection,2.4,"Nodes reject invalid blocks/transactions; exchange-level fraud remains hard to detect automatically (Mt. Gox 2011 incidents; bitcointalk.org security threads)."
G2,Modularity,3.1,"Protocol shows some modularity in clients/mining; early but not fractal in 2011 (bitcointalk.org 2011)."
G3,Info storage,8.9,"Distributed blockchain storage durable across nodes in 2011 (Bitcoin whitepaper; bitcointalk.org 2011)."
H1,Cultural uniformity,4.1,"Early community shows cypherpunk/libertarian lean but diversifying in 2011 forum posts."
H2,Ideological monopoly,4.7,"'Code is Law' and decentralization dominant; some pluralistic debate in 2011 (bitcointalk.org 2011)."
H3,Dissent suppression,-4.8,"Open debate encouraged on bitcointalk; minimal moderation of technical criticism (2011 forum posts)."
I1,Family autonomy,0.0,"Insufficient 2011 evidence; protocol does not interact with family structures."
I2,Religious freedom,0.0,"Insufficient 2011 evidence."
I3,Artistic expression,1.2,"Minimal evidence; near-zero."
J1,Scientific direction,6.4,"Development driven by cryptography research and open-source peer review (bitcointalk.org 2011)."
J2,Education indoctrination,0.0,"Insufficient 2011 evidence."
J3,Media control,-5.8,"Information decentralized; free reporting in early 2011 tech articles."
K1,Military priority,0.0,"Insufficient 2011 evidence."
K2,Isolationism,-6.8,"Globally accessible to anyone with internet (Bitcoin whitepaper; 2011 forum posts)."
K3,External threat narrative,3.8,"Concerns about government crackdowns or attacks common in 2011 forum posts."
L1,Succession mechanism,1.3,"Merit-based transition to Gavin Andresen visible in 2011 (bitcointalk.org 2011)."
L2,Leadership cult,3.8,"Satoshi reverence persists but leadership shifting in 2011 (bitcointalk.org 2011)."
L3,Purge cycles,0.0,"Insufficient 2011 evidence."
M1,Natalism,0.0,"Insufficient 2011 evidence."
M2,Migration control,-8.2,"Capital moves freely across borders via protocol (Bitcoin whitepaper; 2011 forum)."
M3,Ethnic policy,0.0,"Insufficient 2011 evidence."
