Metric,Description,Score,Rationale
A1,Property rights,6.3,"Strong legal protections for private property under codified Roman law, balanced by occasional imperial confiscations of elite estates."
A2,Market allocation,5.5,"Vast Mediterranean trade networks operated through private merchants with state intervention in grain and key resources."
A3,Profit motive,6.8,"Equestrian and provincial commerce flourished under stable coinage and Pax Romana incentives."
B1,Redistribution,-4.3,"Provincial tribute funded grain doles, veteran colonies, and public works, primarily benefiting Rome and military."
B2,Welfare,-3.5,"Institutionalized grain supply and public infrastructure provided limited urban welfare."
C1,Heredity fidelity,3.0,"Adoptive system prioritized merit over strict heredity, though dynastic ties persisted."
C2,Variation allowance,3.8,"Provincial integration and social mobility existed, but political experimentation was reduced."
C3,Differential persistence,6.0,"Administrative competence and patronage supported persistence of successful families and legions."
D1,Parasitism tolerance,-2.5,"Imperial oversight reduced unchecked extraction, though corruption persisted at moderate levels."
D2,Competition intensity,0.3,"Elite competition was channeled and suppressed under centralized authority."
E1,Individual survival until replication,6.3,"Pax Romana improved demographic stability through reduced internal conflict."
E2,Niche construction & colonization,8.8,"Massive infrastructure and colonization integrated provinces into Roman economic zone."
F1,Boundary maintenance,7.8,"Fortified frontiers and diplomatic expansion secured imperial borders."
F2,Error detection & repair,5.8,"Legal and administrative reforms improved governance resilience."
G1,Cheater detection,6.5,"Procurators, courts, and audits constrained corruption more systematically."
G2,Modularity,6.3,"Layered provincial and municipal administration created compartmentalized power."
G3,Info storage separated from execution,6.5,"Imperial archives and codification separated policy from enforcement."
H1,Cultural uniformity,0.8,"Romanitas promoted unity while tolerating local customs."
H2,Ideological monopoly,-1.8,"Imperial cult unified civic life without totalizing doctrine."
H3,Dissent suppression,-1.0,"Treason trials suppressed opposition, but mild under good emperors."
I1,Family autonomy,4.8,"Paterfamilias authority remained strong despite some state regulation."
I2,Religious freedom,4.8,"Diverse cults tolerated if loyal to Rome and imperial rites."
I3,Artistic expression,4.8,"Patronage supported literature and architecture with creative range."
J1,Scientific direction,3.0,"Pragmatic engineering advanced through state and military needs."
J2,Education indoctrination,0.8,"Elite education emphasized civic loyalty with limited ideological uniformity."
J3,Media control,-0.3,"Imperial propaganda via coins and monuments influenced messaging."
K1,Military priority,8.5,"Professional legions dominated state budget and stability."
K2,Isolationism,-6.8,"Expansionist policy integrated provinces and maintained trade."
K3,External threat narrative,5.3,"Barbarian and Parthian threats justified militarization."
L1,Succession mechanism,4.3,"Adoptive system provided relative stability until Commodus."
L2,Leadership cult,-3.8,"Imperial cult symbolized unity without excessive deification."
L3,Purge cycles,-0.5,"Episodic purges occurred but were limited under adoptive emperors."
M1,Natalism,-1.8,"Augustan laws encouraged elite reproduction with limited enforcement."
M2,Migration control,3.5,"Citizenship and provincial movement regulated but inclusive."
M3,Ethnic policy,5.0,"Progressive integration and citizenship extension to provincials."
